3020686,Dunkerque,FR,France,71287,Europe/Paris,"51.0344, 2.37681"
3036386,Aubervilliers,FR,France,70914,Europe/Paris,"48.91667, 2.38333"
2994393,Mérignac,FR,France,69791,Europe/Paris,"44.84247, -0.64512"
3031005,Bourges,FR,France,67987,Europe/Paris,"47.08333, 2.4"
2977921,Saint-Nazaire,FR,France,67054,Europe/Paris,"47.27506, -2.2179"
3024297,Colmar,FR,France,65405,Europe/Paris,"48.08078, 7.35584"
2971053,Valence,FR,France,63864,Europe/Paris,"44.9256, 4.90956"
2984701,Quimper,FR,France,63849,Europe/Paris,"47.99597, -4.09795"
3020839,Drancy,FR,France,62488,Europe/Paris,"48.92578, 2.44533"
2990189,Noisy-le-Grand,FR,France,62420,Europe/Paris,"48.84979, 2.56266"
6543862,Villeneuve-d'Ascq,FR,France,62400,Europe/Paris,"50.61669, 3.16664"
3006414,La Seyne-sur-Mer,FR,France,62330,Europe/Paris,"43.10322, 5.87816"
2998975,Levallois-Perret,FR,France,62178,Europe/Paris,"48.89389, 2.28864"
7284895,Marseille 14,FR,France,61920,Europe/Paris,"43.34447, 5.38004"
3027422,Chambéry,FR,France,61640,Europe/Paris,"45.56628, 5.92079"
3012649,Issy-les-Moulineaux,FR,France,61447,Europe/Paris,"48.82104, 2.27718"
2990611,Neuilly-sur-Seine,FR,France,61300,Europe/Paris,"48.8846, 2.26965"
2971549,Troyes,FR,France,60785,Europe/Paris,"48.30073, 4.08524"
3037423,Antony,FR,France,59845,Europe/Paris,"48.75329, 2.29668"
3006767,La Roche-sur-Yon,FR,France,59410,Europe/Paris,"46.66974, -1.42757"
7284893,Marseille 12,FR,France,58734,Europe/Paris,"43.29614, 5.43617"
2997577,Lorient,FR,France,58112,Europe/Paris,"47.74817, -3.37177"
2976043,Sarcelles,FR,France,57979,Europe/Paris,"48.99739, 2.37821"
2987805,Pessac,FR,France,57944,Europe/Paris,"44.80565, -0.6324"
3012621,Ivry-sur-Seine,FR,France,57897,Europe/Paris,"48.81568, 2.38487"
3019265,Évreux,FR,France,57795,Europe/Paris,"49.02414, 1.15082"
2970072,Vénissieux,FR,France,57584,Europe/Paris,"45.69706, 4.88593"
3027883,Cergy,FR,France,57576,Europe/Paris,"49.03645, 2.07613"
3024597,Clichy,FR,France,57467,Europe/Paris,"48.90018, 2.30952"
7284892,Marseille 11,FR,France,56792,Europe/Paris,"43.2907, 5.4384"
2977295,Saint-Quentin,FR,France,55407,Europe/Paris,"49.84889, 3.28757"
2990355,Niort,FR,France,54660,Europe/Paris,"46.32313, -0.45877"
3033791,Belfort,FR,France,54562,Europe/Paris,"47.64218, 6.85385"
3038334,Ajaccio,FR,France,54364,Europe/Paris,"41.91886, 8.73812"
2970777,Vannes,FR,France,54020,Europe/Paris,"47.65688, -2.76205"
2975921,Sartrouville,FR,France,53980,Europe/Paris,"48.9482, 2.19169"
2996568,Maisons-Alfort,FR,France,53964,Europe/Paris,"48.81171, 2.43945"
2994798,Meaux,FR,France,53811,Europe/Paris,"48.96014, 2.87885"
3032213,Blois,FR,France,53660,Europe/Paris,"47.59432, 1.32912"
3029974,Brive-la-Gaillarde,FR,France,53466,Europe/Paris,"45.1589, 1.53326"
3036938,Arles,FR,France,53431,Europe/Paris,"43.67681, 4.63031"
